sort_id,name,player_id,url,pos,draft_round,draft_overall,draft_year,college,agent
838,"antoine bethea",5002,"https://www.spotrac.com/nfl/arizona-cardinals/antoine-bethea-5002/","Free Safety",6,207,2006,"Howard",""
837,"bradley sowell",10254,"https://www.spotrac.com/nfl/arizona-cardinals/bradley-sowell-10254/","Left Tackle",0,0,2012,"Mississippi",""
836,"brandon williams",19047,"https://www.spotrac.com/nfl/arizona-cardinals/brandon-williams-19047/","Cornerback",3,92,2016,"Texas A&M","Exclusive Sports Group"
835,"brian hoyer",7035,"https://www.spotrac.com/nfl/arizona-cardinals/brian-hoyer-7035/","Quarterback",0,0,2009,"Michigan State","Joe Linta (JL Sports)"
834,"daniel munyer",17537,"https://www.spotrac.com/nfl/arizona-cardinals/daniel-munyer-17537/","Center",0,0,2015,"Colorado",""
833,"edwin jackson",17177,"https://www.spotrac.com/nfl/arizona-cardinals/edwin-jackson-17177/","Inside Linebacker",0,0,2015,"Georgia Southern",""
832,"johnathan ford",21950,"https://www.spotrac.com/nfl/arizona-cardinals/johnathan-ford-21950/","Safety",6,208,2017,"Auburn","The Institute for Athletes"
831,"josh bynes",9001,"https://www.spotrac.com/nfl/arizona-cardinals/josh-bynes-9001/","Inside Linebacker",0,0,2011,"Auburn","Allegiant Athletic Agency"
830,"justin bethel",9998,"https://www.spotrac.com/nfl/arizona-cardinals/justin-bethel-9998/","Cornerback",6,177,2012,"Presbyterian","Lester Archambeau (SportStars)"
829,"kameron canaday",19686,"https://www.spotrac.com/nfl/arizona-cardinals/kameron-canaday-19686/","Long Snapper",0,0,2016,"Portland State",""
828,"kerwynn williams",12512,"https://www.spotrac.com/nfl/arizona-cardinals/kerwynn-williams-12512/","Running Back",7,230,2013,"Utah State","Michael Hoffman (Premier Sports)"
827,"kevin minter",12326,"https://www.spotrac.com/nfl/arizona-cardinals/kevin-minter-12326/","Inside Linebacker",2,45,2013,"Louisiana State","Joel Segal (Lagardere Unlimited)"
826,"larry fitzgerald",966,"https://www.spotrac.com/nfl/arizona-cardinals/larry-fitzgerald-966/","Wide Receiver",1,3,2004,"Pittsburgh","Eugene Parker (Relativity Sports)"
